Class,Data
1,Tưởng không đẹp ai ngờ đẹp không tưởnv luôn ạ ☺️☺️☺️
1,Váy đẹp giống ảnh size chuẩn bé nhà mình rất thích thời gian giao hàng nhanh. Sẽ tiếp tục ủng hộ shop.
-1,Áo lông hàng loại 2 :( quá buồn quá buồn :(thích thì bảo e cho 5* chư kp khách phản ánh về hàng mà cửa hàng phải chặn luôn như vậy đâu. 😏
-1,Mua ve  không  xai được ....te qua
-1,"_ Mua lần 1 giao 1 bao bì mới 1 bao bì cũ. Tôi miễn cưỡng nhận không hoàn trả. cửa hàng tặng vc 25k. Nhưng hàng cũ rẻ hơn hàng mới mà _ mua lần 2 cũng giao tiếp bao bì cũ. Tôi không nhận hàng, mà do giao hoả tốc nên nhân viên giao hàng bị trừ lương nếu không giao được nên đã cự với tôi. Bực"
1,Hàng giao nhanh. Mình đặt hàng ngày 23 thì ngày 25 đã nhận được hàng. Hàng được bọc nilon chống sốc rất dày và cẩn thận. Mình mua lúc flash sale 3 gói được tặng thêm 1 gói loại không mùi 100 tờ với giá 99k so với giá bán lẻ ngoài siêu thị khoảng 40k thì tiết kiệm rất nhiều.
-1,hàng tệ. loa kém chất lượng
1,Mua lần 2 của shop. Lun thấy ưng cái bụng
-1,Mình dùng bị lên mụn. Chắc do không hợp :((((
-1,Máy về  không  sử dụng ĐK bị hư
1,Chất lượng sản phẩm tốt đầu bắt sáng không sáng lắm.
-1,Mua kèm ấm siêu tốc thì bị cửa hàng gửi sản phẩm lỗi
-1,cửa hàng phục vụ kém.đặt màu xanh dương.shop giao màu hồng
-1,quần rộng quá..không giống trong hình
1,Rất đáng tiền ! Hài lòng về sản phẩm ?
1,"Ôi that đẳng cấp, thật là đột phát về công nghệ nữa kìa."
1,Thời gian giao hàng rất nhanh. Được cửa hàng tăng qua nữa e rất la zui. Cảm ơn chi nhiu.Hết e lai ủng hộ típ
-1,pin đểu
-1,Lấy kính cường lực ip8 plus giao kính ip6 plus nhỏ hơn so với màn hình chưa tràn viền . Ốp được mỗi cái tráng gương còn cái silicon  không  giống hình . Quá lởm
-1,Sách in thiếu chữ nửa trang giấy có các trang liên tiếp nhau thì cả mặt đều thiếu chữ.Mình để lâu mới mang ra đọc nhưng đọc kiểu này thì ức chế quá. Mong tiki xem lại khi gửi hàng cho khách. Cảm ơn nhiều
-1,Hàng nhận chẳng giống hình đăng! Từ sau không bao giờ mua của cửa hàng này!
1,Dep dep da lộn ddi cũng ổn
1,Áo đẹp lắm
1,Mẫu mã đẹp. Nhưng ngấm nước
-1,Vừa bật nguồn lên cái đèn màn hình tắt mở wài  không  ság luôn haizzz
-1,Hàng giả . Không dùng được.
1,sữa về liền sau khi cửa hàng hướng dẫn nhưng đúng như cửa hàng nói làm mẹ thì phải kiên trì và mình đã thành công sẽ gắn bó lâu dài
-1,mua chocolate hersheys kisses mà giao hersheys nuggets. 2 loại khác nhau hoàn toàn
1,Hang đểu mi h mua về  không  sử dung được luc chay luc  không   không  nbuw quang cáo
1,Dây đẹp mà lại hạt dẻ nữa :)))
1,- Chất lượng sản phẩm tuyệt vời.
1,"Màu đẹp, giao hàng với tốc độ bàn thờ 😂😂"
-1,áo oke quần mỏng quá. thôi tiền nào của đấy. tặng cửa hàng 5 sao.
-1,Hàng dởm bản thân mình đã có râu sẵn rồi nhưng muốn có thêm ở 2 bên cằm nhưng dùng nửa tháng rồi vẫn không mọc thêm được tí nào. Được cái VNPost giao hàng nhanh
1,Chất lượng tương xứng với giá tiền tuy nhiên không phải 7cm như cửa hàng đăng mình đo thì mới chỉ được gần 6cm thôi ạ. Nhưng không sao vẫn đánh giá 5sao mong cửa hàng lưu ý hơn để đăng cho chuẩn thôi ạ :)
1,"Thích lắm. Thích nhất cái đế giày, nhẹ và êm lắm luôn. Đúng là giày Nike thì chất lượng cũng có sự khác biệt. Hài lòng với sản phẩm và cách phục vụ của shop."
1,Hơi mặn chút xíu. Nhưng đúng đồ mình thích
1,không đc ưng ý cho lắm
-1,Giao hàng quá chậm. Cũng không có thông báo. Khi hỏi chờ mãi.mới thấy trả lời.
-1,Hàng mới nhận mở ra xem thì trầy xước hết rồi cửa hàng ơi. Cái này giống hàng trưng bày hay sao á. Vali mới mà trầy hết trơn à.
-1,Ghi là 5 đôi 39k xong vận chuyển có 1 đôi là sao shop?
-1,1 chiếc giày bị ố vàng :((((
1,Chất lượng sản phẩm tuyệt vời Lần 2 mua ở cửa hàng này...Rất tin tưởng
1,đồng hồ đẹp với tầm giá bền hay không thì còn phải dùng đã
1,Giao khá nhanh
1,ngon chất lượng
-1,Mùi khác
1,Rất yêu cửa hàng Đã ủng hộ ủng hộ rất nhiều
-1,cửa hàng lừa đảo đặt 2 hộp Nutren junor giao 1 hộp xong hứa hẹn giao 1 hộp còn lại trong khi đó mình thanh toán 2 hộp. Hiện giờ là gọi không nghe máy
1,Chai thứ 2
1,cửa hàng phục vụ rất tốt Hôm trước mình có đặt hàng 2 sp của cửa hàng nhưng khi kiểm hàng chỉ có 1 sp và mình  không  rõ đây là lỗi của bộ phận nào nhưng cửa hàng đã đứng ra nhận trách nhiệm và hoàn tiền sp còn lại cho mình Cũng yên tâm vì mua bán trên đây cửa hàng luôn đặt uy tín lên hàng đầu.tks cửa hàng
-1,Chất lượng sản phẩm rất kém gửi sản phẩm không có nắp cửa hàng cò quay mãi không muốn gửi nắp
-1,Rất không đáng tiền sản phẩm thì không có hộp đóng hàng trơ trơ ra như vậy. liên hệ gọi cho cửa hàng cả chục cuộc cửa hàng  không  nghe máy
-1,Mới mua sử dụng mấy bứa giờ mở nguồn không lên. buồn thật
1,Quá đẹp. Sẽ ủng hộ cửa hàng dài dài!
1,Hang rat tot Rất đáng tiền Chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt. Ung ho tiep
-1,"Giống Xiaomi 96,69% Mà cục 10000 mới của Xiaomi ngon hơn, giá rẻ hơn nữa"
1,San phẩm xài tốt nhe
-1,Đóng gói không cẩn thận bên chuyển phát thì quăng vật méo cả hộp. Vỡ cả giá đỡ. Chạy kêu lắm. Nhận được sản phẩm bị vỡ.
-1,Vỏ chai xỉn màu trầy trụa.nhìn như vỏ cũ xài lại. Nước có mùi hơi hôi.
1,Thời gian giao hàng rất nhanh. Đầu núm mỏng.
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh 😗😗😗😗😗😗😗😗😗😗😗
-1,độ cứng kém. màu trắng nên nhìn giống bị gàu. không nên mua.
-1,Giao size XS mà cho em bé mặc vừa.
-1,Giầy sz quá nhỏ so với size chuẩn. cửa hàng  không  hề tư vấn người mua hàng rằng giầy lỗi size. Bán lấy được. Sẽ không bao giờ mua bất kỳ sp nào của cửa hàng này nữa
-1,Chất lượng sản phẩm rất kém. Chuột ghim vào không nhận đề nghị trả hàng hoàn tiền lại
1,Mặt nạ test Auth chất lượng ra sao thì dùng mới biết.. :)
-1,Giày gì mà đi bên vừa bên chật nhưng hai bên đều ghi size 39 là lạ lắm ăn nghen
-1,"Sao sắp chết rồi mà vẫn còn ra đc những mẫu xấu điên thế này đc nhỉ, hay là về bản sắc riêng :))"
-1,1 đai bằng vải mỏng chất lượng vải kém. Không có hướng dẫn sử dụng. Sp không nên mua. Quá đắt.
-1,Giao hàng cũ và không nhận là đã giao mình không thích sự không trung thực đã trả hàng và hoàn tiên
-1,Mua hàng không đọc kỹ. Sau khi nhận thì gãy. Bằng nhựa. Sau đọc đánh giá mới thấy ai mua cũng bị gãy hết mà cửa hàng vẫn bán cho khách. Nt thì không trả lời
-1, không  co balo zay ma quang cao co balo xao...do lua dao ban hang  không  co tam.
-1,Nói miễn phí tháng đầu mà phải nạp tiền mới xài được
-1,Rất lem nhem. Màu sắc nhợt nhạt. Chi tiết chỗ nối rất vụng và xấu. Không dám cho con gặm
1,Chất lượng sản phẩm tuyệt vời.cháo nấu lên ăn rất ngon nhé s
-1,Hàng kém chất lượng hồng ngoại lắp lên như không có
1,Chất lượng sản phẩm tuyệt vời. Đóng gói chắc chắn..rất hài lòng
1,Giày đẹp lắm shop. Cảm ơn cửa hàng
1,Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Chấp nhận được so với giá tiền 299000
-1,"màu lên không hề chuẩn tông hồng tím khá là nhiều son cũng không bền mầu, nếu như ăn bát bún hay đồ dầu mỡ thì cũng bay bằng sạch. bảng màu Lên rất tệ."
1,Đóng gói chắc chắn Đồng hồ đẹp
1,Mới xài được 1 tháng bị căt
-1,mua đồ mặt không vừa nhắn tin đổi số nhỏ hơn cửa hàng không trả lời.điện thoại mấy lần không nghe máy buôn bán kiểu này ai mà dám mua hàng trên mạng nữa
1,Chất lượng sản phẩm tuyệt vời. Đẹp chắc chắn. cửa hàng phục vụ rất tốt
1,Chất lượng sản phẩm tuyệt vời giao hàng hơi lâu. Nhưng vẫn cho 5sao
-1,Giay bi rach
1,Hơi buồn một chút khi mở ra thì thấy thế này :((( Nhưng không sao chất lượng tốt Hàng chính hãng ❤️❤️☀️
1,Giày đẹp. Được tặng đồ cột tóc
-1,ưu điểm nhỏ gọnnhược điểm đầu bút quá mềm sẽ bị lem nước trong lọ dễ bị vón cục mình mới mua xài  không  được bao lâu đầu cọ bị rơi ra dính chặt dưới đầu mực bước....ko xài được nữa. sp tệ
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh. Hàng đẹp ngoài mong đợi😍
1,Yêu cầu hàng bed gái mà lại giao hàng bé trai
-1,Chất lượng sản phẩm rất kém cửa hàng phục vụ rất kémNói sẽ đổi hàng mà không thâý đâu.
-1,Sản phẩm bị sử dụng rồi mà vẫn giao
1,Đóng gói sản phẩm rất đẹp và chắc chắn good
1,Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt.
-1,Hàng giao bị gỉ sét và thiếu ốc. Sản phẩm không giống như hình và giao không kèm hướng dẫn lắp ráp.
1,Sách khổ quyển A4. Đẹp. Hay
1,Em vẫn đẹp dưới con mắt của tôi.
-1,Mùi quá nồng nói là sp sinh học nhưg giốg như keo đổ ra rồi đắp lên mặt í . Lại còn hôi mùi ống nhựa .. chưa bh mìh sd so nào tệ nv hết .... Chất lượng sản phẩm rất kém
1,Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Cảm ơn những món quà của cửa hàng
1,Giao hàng cực kì nhanh chất lượng thì đợi đắp mới biết
-1,2 nút khác so với hình.
-1,Bánh có mấy cái bị xẹp lép. Có tới 4 cái trung thu giống nhau dở ẹt
-1,Giao lộn màu mà pm cửa hàng  không  ai trả lời
1,Chì tốt màu 5- eppresso brown này là hợp vơi tóc đen thuần châu á như mình nhất rồi. Còn bạn nào tóc nhuộm có thể tham khảo mấy màu khác. Đóng gói sản phẩm rất đẹp và chắc chắn
-1,giao thiếu thiếu hàng khi yêu cầu giao bù sản phẩm thì cửa hàng không trả lời
-1,cửa hàng giao thiếu hàng cho mình mình nhắn tin thì nói để kiểm tra lại sau đó thì im luôn không trả lời
1,Gạo ăn ngon mỗi tội hơi ít rong biển thui😂
1,Đã nói cửa hàng la đổi màu đỏ thành vàng mà nhận hàng van la màu đỏ
-1,Đóng gói cực ẩu vỡ nát cả 2 gương
-1,Túi nhỏ không vừa kích cỡ thảm. Mặc dù đã cuộn chặt nhưng cài dây kéo rất khó kéo vào căng đến nỗi rạn chỉ may túi luôn
1,Chất lượng sản phẩm tuyệt vời hì chưa biết có bền hay không. Nhưng nhìn đẹp lắm .
1,Đẹp hay đáng giá tiền
-1,mua mà  không  có vậy cửa hàng có giao hàng đâu lừa đảo hả
1,Hàng chuẩn Chất lượng sản phẩm tuyệt vời
-1,Lúc nhận hàng sản phẩm bọc gói oke. Bật lần đầu dùng tốt đến lần 2 thì máy không phun sương nữa. Mình đã liên hệ với cửa hàng để được giải quyết thì cửa hàng chỉ nhắn lại là bộ phận cskh sẽ liên hệ. Vài ngày đã trôi qua không ai liên hệ. cửa hàng tự xem lại cách cskh và chất lượng sản phẩm nhé. không quay lại lần 2
-1,Giao hàng  không  chuẩn size. Đặt 38 lại giao 39. Nt thì  không  trả lời
-1,dag hjh thi nhjn dc.lay hag thi y nhu do cu bi bo di.k dag tien
1,mặt nạ xài okie.
1,Cái thứ hai Quá ổn
-1,Tôi mượn cuốn này từ đứa bạn. Sau khi khi đọc được 10 mấy trang tôi tự hỏi wtf tại sao nó lại có thể mua được 1 cuốn sách dở như này và không thể nào đọc thêm được nữa. Đọc không cảm thấy buồn cũng không vui cũng không hiểu biết thêm được gì. Nói chung là không cảm nhận được gì
1,"Thậc tuyệt vời khi công nghệ được giấu kín đến tận ngày khai trương,"
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn giao hàng nhanh hàng đẹp y hình luôn nè
-1,Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Chất lượng sản phẩm kém
1,Đóng gói sản phẩm rất đẹp và chắc chắn Đang dùng thử không pk kết quả ra s
1,Sản phẩm được .
1,Đẹp tiện
1,Đóng gói sản phẩm rất đẹp và chắc chắn. Hàng tốt so với nhu cầu
-1,đây không có bọc đa đành còn bị nhăn với rách nữa dính bụi với cát chả hiểu tiki đóng gói trong nhà hay ngoài biển nữa quá tệ
-1,sim toan tai khoan noi mang+tai khoan ngoại mang hsd: 26-10-2018
1,Sẽ ủng hộ cửa hàng nhiều lần nữa. Tuyệt. Cho cửa hàng điểm tuyệt đối
1,không ngờ deal 9k được cái áo đẹp như vậy. Hàng đẹp hơn so với giá tiềnshop tư vấn nhiệt tình đổi hàng chiều khách con mặc vừa in luôn 10* cho shop.
-1,Balo bé tạm được tiền vận chuyển còn max hơn tiền đồ
1,Trời ơi rẻ dữ
-1,"cửa hàng nên đóng gói bọc thêm lớp chống sốc như mọi khi. đợt này 2 túi sp bị rách khá lớn ,sp bị mất mùi mọi người nhận hàng kiểm tra bên ngoài cho kỷ trước khi mở thùng xem hạt có bị rớt ra ngoài k!! NẾU MỞ THÙNG RỒI  không  được HỔ TRỢ ĐỔI TRẢ"
1,Giao hàng nhanh !
1,Rẻ- đẹp. Kpit chất lượng ra sao
-1,Đến ngày hôm nay vẫn chưa gửi HĐ cho tôi????????????????????????. Sao kì cục quá v
1,Lần đầu tiên mua đồ mà thấy ưng ý như vậy 😍 cửa hàng đóng gói hàng cực cẩn thận dặn dò kỹ lưỡng sản phẩm quá đẹp. Ưng lắm ý cảm ơn cửa hàng nha. Chúc cửa hàng ngày càng đông khách nhé 😉
1,Cân  không  có nút để chỉnh . Cân bị già 1 không luôn mà chỉnh  không  dc. Nói chung hàng mới.
-1,không phải hàng chính hãng nên gắn vào  không  chuẩn
-1,Máy hút khoẻ nhưng ngắt liên tục inbox cho cửa hàng mà không thấy trả lời.ko hài lòng về dịch vụ
1,Chat luong san pham cung duoc .nhung tien vận chuyển hoi mắc
1,Đóng gói sản phẩm rất đẹp và chắc chắn Thơm tẩy tế bào chết tốt không kích ứng.
1,vải  không  đẹp .  không  giống hình
1,Giao hàng nhanh đóng gói chắc chắn cẩn thận sẽ tiếp tục mua hàng tại shop.
1,Thời gian giao hàng rất nhanh.giày cx oki ạ nhưng mõm sò  không  được như hình ạ
-1,Không tìm thấy hạn sử dụng đâu cả nên mình không dám dùng
1,mùi rất thơm nhưng mà chai nhỏ hơn mình tưởng
1,Giá tốt giao hàng nhanh dùng xong da mịn. Rất thích. Tiếp tục ủng hộ shop.
-1,Hàng mua về không dùng được.
1,Sp tốt mà chọn sai size mang hơi rộng
1,Chất lượng sản phẩm. tốt - Đóng gói . tốt - Xử lý đơn hàng nhanh. 5*
1,Giày rất to và cao y như hình tuy là sơn hơi dối nhưng chất lượng rất tốt
1,cửa hàng gưi thieu 01 quyen sach. Phản hồi không thấy trả lời hay giải quyết là sao?
-1,Giao nhầm màu son cho mình mình đặt màu 09 khi nhận hàng thì thấy giống màu 11...là thấy không hài lòng rồi...
1,Đóng gói chắc chắn đẹp. Sp tốt
1,Màu xanh đẹp
1,Hàng tốt giao hàng nhanh còn tặng thêm quà đáng tiền lắm ạ
1,Chất lượng sản phẩm tuyệt vời .đẹp sang .tốt .
1,Hàng đẹp. Đúng mẫu.
1,Lần thứ 4 đặt đồng hồ ở shop. Rất hài lòng và an tâm
-1,Chất lượng sản phẩm không tốt. Từ form dáng đến chất liệu. Tuy nhiên đóng gói sản phẩm rất đẹp và chắc chắn.
1,Sp tam duoc nhung may bi ken vai .thoi gian co hag hoi cham
-1,Kém nhiều so với mô tả ! Cũng chậc lưỡi âu cũng là 1 phần hoài cổ !
-1,Thảm  không  như miêu tả mặt sau  không  phải vân sóng bám kém thảm hồi kém chủ cửa hàng  không  nhiệt tình giải đáp cho khách biết là tiền nào của nấy nhưng sản phẩm phải đúng như miêu tả không nên mua hoàn toàn không nên mua. Chất lượng sản phẩm rất kém
1,Chất lượng hàng qua kem .ko bao gio mua hàng ở sop nữa.
1,cửa hàng phục vụ rất tốt. Nhiệt tình khi khách hỏi đi hỏi lại mấy lần. Cám ơn cửa hàng nhiều
-1,Những bạn ở ngoài trung tâm thành phố không nên mua vì mất tiền vận chuyển thêm lần 2 nhé. Bán bánh mà bán voucher mà còn phải tự động lên lấy bánh. Ăn cái bánh khó quá ạ
-1,tiền nào của nấy mà  không  ngờ tệ vậy. Dùng được 1 tuần đựng mỗi mấy đồ linh tinh đi học mà đứt chỉ tùm lum
-1,cửa hàng bảo da cao cấp lau cái là trơn. trời ơi trơn j loại này da công nghiệp hơi sần nhanh bẩn. lật lót giầy lên chỉ may  không  khít rất thưa khá tệ. lưỡi gà logo smith  không  nổi. tóm lại đây chỉ là đôi 3-400k ốp thêm túi + pk vào .vì mình có đi xem bản rep chuẩn rồi. khách nói vẫn còn già mồm đc :))
-1,Giao hàng quá chậm rất không hài lòng
-1,Không ra cái thể thống cống rãnh gì cả
1,Đã mua rất nhiều sp của cửa hàng và cực ưng chất áo chất mịn cực xinh iu lắm nạ
-1,trước giờ thường Tiki giao hàng trước ngày dự kiến thôi. Lần này lại trễ hơn 1 ngày. Không phải việc gì to tát nhưng mình chẳng thích giao hàng trễ. cứ giao đúng ngày là được sớm cũng  không  cần nhưng giao muộn thì rất phiền. Vì mình mua món này làm quà sinh nhật bạn nếu theo lịch dự kiến là vừa kịp ai ngờ lần này tiki giao trễ 1 ngày nên phải hẹn bạn tặng quà sau. phát nản!
1,cửa hàng phục vụ rất tốt. Thời gian giao hàng nhanh. Đóng gói sản phẩm rất đẹp và chắc chắn
1,cảm ơn rất nhieu vi cửa hàng giao hang rất nhanh . Chat lượng hang cung tốt
-1,Chất lượng sản phẩm rất kém. Dán xong có bột khí
-1,cửa hàng cố tình giao thiếu sản phẩm
1,Thích cách đóng gói...
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Thời gian giao hàng rất nhanh Rất đáng tiền
-1,Có một cái không lên đèn không kiểm tra hàng khi gửi đi bực mình.
-1,Rất không đáng tiền. Dây cáp đã sử dụng rồi cũ sạc lúc vô lúc không nhắn tin không trả lời. Quá tệ
-1,1 cái sạc không vào pin mặc dù có tín hiệu đang sạc
-1,Chất lượng sản phẩm rất kém dùng 1 ngày đã bị loạn cửa hàng không hỗ trợ bảo hành
-1,khó sử dụng hiệu quả thấp.
1,Sản phẩm đúng như ảnh đăng. Dùng bt. Để dùng thêm thời gian xem sản phẩm có tốt không.
1,Mình không nhận đc kẹo chanh muối :(( cửa hàng giao lộn kẹo mây
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh NGẠI JK không MUA
-1,"động cơ quay yếu hay ngừng có khi đứng im luôn không chạygiá gốc là khoảng 300K, mà chất lượng thật kém vì là sản phẩm điện tử, nên Tiki hỗ trợ bảo hàng, không đổi trả được, nên phải mua đồ vắt cam khác trong khi bảo hành bất tiện và chán"
-1,Sản phẩm không bị lỗi nhưng không được mới hoàn toàn. Tôi có thể nhìn thấy nét bút trên cuốn tập viết 1- 2. Chắc chắn sản phẩm đã qua sử dụng.
1,Đã nhận đc hàng đặt hàng ghi chú lấy màu đen nhưng khi gửi lại gửi màu xanh bây giờ muốn đổi lại sang màu đen. Giày nhẹ chưa sử dụng nên chưa biết chất lượng như thế nào
1,Mình mua 2 cái màu xanh dương cửa hàng gởi cho mình 1 xanh dương 1 xanh lá mình không hài lòng
-1,Bán đồ kiểu gian manh.không xài được
-1,Hình đẹp lung linh mà hàng thì không giống hình đổi trả mất thời gian tốn tiền phí nói chung là không đẹp
1,Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời
-1,Bị nổ cháy
-1,Đóng gói sản phẩm kém
1,Chất lượng sản phẩm tuyệt vời mềm và dep lăm a
-1,sản phẩm bảo quản không tốt bụi bám nhìn rất bẩn đã hoàn trả.
-1,Chất lượng sản phẩm tốt Giao hàng nhanh Tôi rất hài lòng với sp ma tôi đã chọn Cảm ơn shopee !!!
1,Tất mỏng
-1,giá này thì thua rồi
1,giày trất's quá =)))))))))))))))))
-1,sản phẩm thực tế nhỏ quá so với trên hình web hơi thất vọng 1 xíu
-1,Mua về nạp tiền mà nó cứ báo thế này lừa đảo anh em ơi
-1,San pham không giong nhu hinh
-1,không hài lòng giao không đúng yêu cầu
1,Bìa sổ hơi nhàu hơi khó lật trang do lò xo bị méo mà nhìn chung thì rất tốt
-1,Keo này giống keo 502 không thể dán giày được gián giày da bị cháy da luôn
-1,Rất tệ. Để chi 900 mấy rồi giảm. Hàg kém chất lượng
-1,Mình đã mua không biết bao nhiêu sản phẩm của Trẻ từ manga cho tới sách mà lần nào mình mua cũng thấp thỏm không yên. Lúc nào củng bị một lỗi là mực in lem nhem. Cho nên lúc mua HP mình đã rất đắng đo nhưng vì là một fan bự nên thôi kệ mình đã mua đợt tái bản lần này. Nhưng kết quả lại thật sự làm mình thất vọng và mất niềm tin lại cũng là lỗi lem mực....Bộ trẻ khi xuất bản không kiểm tra sách sao....
-1,Thảm dơ dấy tòan dầu sa tế rất ám mùi rõ là lớp gói ngoài không sao vô đến lớp gói trong nữa mới bị mà bạn cửa hàng cứ đổ lỗi cho vận chuyển nếu vậy mình đã chẳng ib bạn làm gì còn không đc câu xin lỗi nhắn tin thì câu được câu mất trả lời cho có dịch vụ quá kém.
-1,Hâm mãi không nổi một bình sữa
-1,Rất không đáng tiền.Shop phục vụ rất kém
-1,Chất lượng sản phẩm rất kém mua 70k về thay pin mặt kính hết 150k cửa hàng phục vụ rất kém Rất không đáng tiền Thời gian giao hàng rất chậm
-1,Chất lượng sản phẩm rất kém cửa hàng phục vụ rất kém Rất không đáng tiền dat 2 cai ma co giao 1 cai nhung lay 1 cai thi 100k lon me cửa hàng
1,Giày quá đẹp luôn í êm chân hình in siêu đã mắt đường chỉ may siêu đẹp. Giao hàng nhanh lắm luôn đặt hôm trước hôm sau có rồi. Chủ cửa hàng nói chuyện so cute nhiệt tình <3
1,cửa hàng phục vụ rất tốt đây là lần thứ 2 mua hàng ở cửa hàng rồi và sẽ ủng hộ cửa hàng dài
1,Chất lượng sản phẩm tuyệt vời Bao bì tuyệt vời Chất lượng dịch vụ bán hàng tuyệt vời***Người giao hàng xăm trổ đầy mình trông như XÃ HỘI ĐEN***SHOP kiếm đâu ra síp hàng hảo hán như vậy thì ai dám mua hàng nữa ***bản mặt hoằm hoằn như muốn ăn thịt người
1,Không đúng những gì nội dung quảng cáo thiếu tặng kèm pin
-1,cửa hàng phục vụ tệ. không nhiệt tình hỗ trợ khách. Hàng giao chậm không xử lý cho khách. Chất lượng sản phẩm kém
1,Son đẹp chuẩn auth. Lần thứ 3 mua hàng ở Cỏ❤
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Rất đáng tiền Rất đáng tiền cửa hàng phục vụ rất tốt cửa hàng phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt
-1,Giao thiếu Sp
-1,hàng lỗi mà cũng bán cho khách..lừa đảo
1,Lúc khởi động thì không lên phải tháo lắp lại các kiểu mới lên không biết tại nguồn hay tại các linh kiện khác
1,Màu đen rất đẹp có thể soi gương đc luôn
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Giao hàng nhanh👍
1,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng tư vấn rất nhiệt tình
-1,Nhan vien giao hang kem ích su. Chất lượng sản phẩm rất kém co 1 cai bị gãy chân đế Đóng gói sản phẩm rất kém
1,Sản phẩm như hình. Chỉ dành cho mấy em bé dưới 12t
1,rất hài lòng về sản phẩm .máy xay tốt. chuyển hàng nhanh .
1,Đóng gói đẹp chắc chắn giao hàng nhanh. Sản phẩm chưa dùng nên chưa đánh giá được. Khi dùng có hiệu quả sẽ cho cửa hàng riview tốt sau
-1,Thời gian giao hàng rất chậm cửa hàng phục vụ rất kém Đóng gói sản phẩm rất kém Chất lượng sản phẩm rất kém. Đặt hàng màu bạc mà lúc nhận được lại là màu vàng chát hỏi lại cửa hàng thì lại không thấy phản hồi gì cả gọi điện cũng không nghe. Rất thất vọng về sản phẩm cũng như thái độ phục vụ của cửa hàng
-1,Giao nhầm size. Nhắn tin cho cửa hàng không thèm trả lời
1,Đóng gói sản phẩm rất đẹp và chắc chắn có thiệp cảm ơn nữa... nói chung là hài lòng.
1,Chất lượng sản phẩm tuyệt vời. Thời gian giao hàng rất nhanh. Rất đáng tiền. Sẽ quay lại mua tiếp.OK
1,Ngon và đã bị nghiện
-1,nội dung dài dòng không có nét nhấn đọc gây buồn ngủ. Đây là cuốn sách khiến mình hối hận nhất khi mua về. Cực kì nhàm chán
1,Váy này chỉ đc 1mâu thoi ha sop.ko được 2mau ạ
1,Sản phẩm đúng như thông tin đăng. Rất tuyệt vời!
1,Giống hình bị lộ chỉ hơi cứng chân. Rất đáng tiền
1,Mình làm mất mã voucher lh cửa hàng xử lý siêu nhanh nhân viên dễ thương và nhiệt tình. Còn cháo thì ngon đưa mã ra ăn đã  không  tốn thêm tiền gì. Nói chung Chất lượng sản phẩm tuyệt vời
1,Chất lượng tốt bỉm mềm - khô thoáng - mùi dễ chịu giao hàng nhanh! Giá hợp lý!
1,Hôm trước mua 1 cái rất hài lòng hôm nay mua thêm 2 cái vẫn thấy rất hài lòng giao hàng rất nhanh chỉ hơn 1 nhày là có hàng
1,Hàng đẹp. Chất lượng. Tóm lại là tốt
1,Hơi lỗi chút nhưng không sao. Nội dung sách hay. Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền
-1,Quần vặn ống không mặc đc
1,Thời gian giao hàng rất nhanh. Đẹp ngoài mong đợi
1,Ax đi cực thích luôn ạ giày đẹp. Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Sẽ ủng hộ cửa hàng dài dài ạ
-1,Hàng  không  giống với lọ mình mua ở cocoshop.  không  biết thế nào? Chưa dám thử.
-1,không tốt lắm
-1, không  dùng được đợi mãi chả thấy ai về lấy hàng mà trả lại nên thôi
-1,Kgvco lanh gi het . Rất không đáng tiền
-1,đã nhận được hàng sai màu hoàn toàn
